id,occupation,location,tstamp,treatment,treated_cg,treated_em,did_mc,started_assignment,completed_assignment,time_read,time_check,time_ready,time_assignment,man_check_cgo_correct,man_check_emi_correct,passed_both_mc,sga,da,fvg_market,fvg_model,gains_inv_property,int_exp,tax_exp,dinclude
STWTBJSIH52FEBDK,Portfolio Manager,North America,2019-07-03 11:59:55,4,TRUE,TRUE,TRUE,TRUE,TRUE,72.6623086929321,16.6895139217377,2.73592352867126,337.558362483978,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
AL355IKF80ICZV3U,Financial Analyst,Europe,2019-07-03 12:00:26,4,TRUE,TRUE,TRUE,TRUE,TRUE,15.2312042713165,11.499988079071,2.45704364776611,120.604040622711,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
Z195H1MFATE8XTT1,Financial Analyst,Europe,2019-07-03 12:04:35,3,TRUE,FALSE,TRUE,TRUE,TRUE,12.209639787674,10.8919842243195,1.13764977455139,34.8126797676086,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
BJJ95ZO8XBQJSF36,Financial Analyst,Europe,2019-07-03 12:10:56,2,FALSE,TRUE,TRUE,TRUE,TRUE,13.6683163642883,16.8195459842682,1.27961778640747,75.7674477100372,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
PJV5FASZS0YBC60Q,Financial Analyst,Europe,2019-07-03 12:16:33,1,FALSE,FALSE,TRUE,TRUE,TRUE,27.5017287731171,6.08122062683105,2.5930073261261,94.2381916046143,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
WLUGJQ0MPZIIQQ4T,Portfolio Manager,North America,2019-07-03 12:22:57,3,TRUE,FALSE,TRUE,TRUE,TRUE,5.06894063949585,51.7455794811249,11.7786021232605,84.130069732666,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
EM6F3V8YT5NL9U6S,Financial Analyst,Europe,2019-07-03 12:23:20,4,TRUE,TRUE,TRUE,TRUE,FALSE,28.4897077083588,10.3480944633484,1.72202849388123,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
T0FIW47GD3OZ70DX,Portfolio Manager,Europe,2019-07-03 12:23:42,4,TRUE,TRUE,FALSE,FALSE,FALSE,4.33021211624146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HSD14TXUNPRACVDI,Financial Analyst,Europe,2019-07-03 12:28:57,4,TRUE,TRUE,TRUE,TRUE,TRUE,22.4876124858856,27.8268232345581,5.12504577636719,59.6139500141144,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
YFPVYJT3FGLK37Y5,Portfolio Manager,North America,2019-07-03 12:34:01,2,FALSE,TRUE,TRUE,TRUE,TRUE,25.7374262809753,10.7686154842377,3.88748407363892,76.0280246734619,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0
